duration,end time,name,start time
16.0,41484712200.0,transport.onreadystatechange,41484712184.0
1073.0,41484713767.0,transport.onreadystatechange,41484712694.0
796.0,41484717779.0,ia,41484716983.0
950.0,41484719111.0,ia,41484718161.0
38448.0,41484757770.0,ia,41484719322.0
12.0,41484761685.0,u.onreadystatechange,41484761673.0
4.0,41484761793.0,u.onreadystatechange,41484761789.0
53.0,41484762079.0,u.onreadystatechange,41484762026.0
240.0,41484779138.0,ia,41484778898.0
61.0,41484779362.0,ia,41484779301.0
106.0,41484780091.0,ia,41484779985.0
1287.0,41484781726.0,ia,41484780439.0
10396.0,41484793103.0,ia,41484782707.0
106.0,41484793910.0,ia,41484793804.0
568.0,41484794634.0,ia,41484794066.0
635.0,41484795546.0,ia,41484794911.0
118.0,41484795916.0,ia,41484795798.0
525.0,41484796602.0,ia,41484796077.0
36.0,41484799688.0,l,41484799652.0
99.0,41484799985.0,l,41484799886.0
9613.0,41484811478.0,l,41484801865.0
953.0,41484813053.0,k,41484812100.0
11808.0,41484828589.0,ia,41484816781.0
160.0,41484829563.0,ia,41484829403.0
2522.0,41484843083.0,ia,41484840561.0
362.0,41484843786.0,ia,41484843424.0
374.0,41484844317.0,ia,41484843943.0
109.0,41484844565.0,ia,41484844456.0
5950.0,41484851967.0,,41484846017.0
747.0,41484852866.0,,41484852119.0
232.0,41484853380.0,ia,41484853148.0
35.0,41484856555.0,Fb.S,41484856520.0
716.0,41484858211.0,,41484857495.0
362.0,41484858723.0,,41484858361.0
420.0,41484859437.0,ia,41484859017.0
1705.0,41484861412.0,ia,41484859707.0
1952.0,41484863642.0,ia,41484861690.0
146.0,41484864099.0,ia,41484863953.0
372.0,41484864636.0,,41484864264.0
376.0,41484865144.0,,41484864768.0
166.0,41484865443.0,,41484865277.0
827.0,41484869885.0,,41484869058.0
331.0,41484870311.0,,41484869980.0
349.0,41484871016.0,ia,41484870667.0
261.0,41484871422.0,ia,41484871161.0
3318.0,41484876780.0,ia,41484873462.0
352.0,41484877360.0,ia,41484877008.0
1088.0,41484878697.0,ia,41484877609.0
508.0,41484879636.0,ia,41484879128.0
208.0,41484880466.0,ia,41484880258.0
73.0,41484880738.0,ia,41484880665.0
542.0,41484881400.0,ia,41484880858.0
1766.0,41484883318.0,ia,41484881552.0
309.0,41484883848.0,ia,41484883539.0
293.0,41484884348.0,ia,41484884055.0
154.0,41484888057.0,ia,41484887903.0
709.0,41484888899.0,,41484888190.0
1049.0,41484890157.0,,41484889108.0
232.0,41484890493.0,,41484890261.0
333.0,41484891073.0,,41484890740.0
205.0,41484891342.0,,41484891137.0
323.0,41484891950.0,,41484891627.0
228.0,41484892312.0,ia,41484892084.0
492.0,41484892901.0,ia,41484892409.0
71.0,41484893128.0,ia,41484893057.0
729.0,41484893980.0,k,41484893251.0
195.0,41484894279.0,ia,41484894084.0
387.0,41484894752.0,ia,41484894365.0
211.0,41484895101.0,ia,41484894890.0
160.0,41484896412.0,ia,41484896252.0
1326.0,41484897905.0,ia,41484896579.0
259.0,41484898435.0,ia,41484898176.0
741.0,41484899363.0,ia,41484898622.0
18.0,41484901147.0,transport.onreadystatechange,41484901129.0
6.0,41484901290.0,transport.onreadystatechange,41484901284.0
2400.0,41484904122.0,transport.onreadystatechange,41484901722.0
166.0,41484904732.0,,41484904566.0
104.0,41484904946.0,aa,41484904842.0
36.0,41484905037.0,u,41484905001.0
68.0,41484905279.0,ia,41484905211.0
246.0,41484905680.0,ia,41484905434.0
205.0,41484906051.0,ia,41484905846.0
1369.0,41484907510.0,ia,41484906141.0
130.0,41484909686.0,ia,41484909556.0
584.0,41484910373.0,,41484909789.0
1142.0,41484911674.0,,41484910532.0
311.0,41484912100.0,,41484911789.0
371.0,41484912624.0,,41484912253.0
234.0,41484912940.0,,41484912706.0
181.0,41484913386.0,ia,41484913205.0
167.0,41484913632.0,ia,41484913465.0
163.0,41484913876.0,ia,41484913713.0
